nombre,razon_social,domicilio,colonia,poblacion
SERV PORCLA,PORCLA SA CV,CARR NAL MEX QRO KM 48,BARRIO SAN SEBASTIAN,TEOLOYUCAN EM
SERV DON CHEQUE,CASTILLO RODRIGUEZ AGUSTIN,KM 106 080 CARR FEDERAL PUEBLA,PINO SUAREZ JOSE MARIA,TEPANCO DE LOPEZ PUE
GASOL MATAMOROS,OPER ENERGETICOS ALTOS SA CV  ,AV MARIANO MATAMOROS NO 684,EL PIPON,TEPATITLAN JAL
SERV LOPSOL,SERVICIO LOPSOL SA CV,LT 2,PQUE IND SAHAGUN,TEPEAPULCO HGO
SERV MAFF,SERV MAFF SA CV,LA PRESA PACHUCA KM 44,ZONA INDUSTRIAL,TEPEAPULCO HGO
SERV ROBLES,ROBLES VAZQUEZ MIGUEL,AV FELIPE ANGELES NO 47,TEPEAPULCO,TEPEAPULCO HGO
SERV TALAMANTES,SERV TALAMANTES SA CV,PROL NINOS HEROES NO 1,OCOTLAN CERRO CHINO,TEPECHITLAN ZAC
GAS IMPERIAL DURANGO  ,REGIO GAS LERDO SA,CARR GUANACEVI NO KM 167 230,TEPEHUANES,TEPEHUANES DGO
SERV EL CRUCERO,SERVICIO EL CRUCERO SA CV,CARRT TULA TEPEJI KM 2 NO SN,TLAXINACALPAN,TEPEJI D RIO D OCAMPO HGO
AUTO SERV LAZARIT,AUTO SERV LAZARIT SA CV,CARR JEREZ TEPETONGO KM 52.5,CENTRO,TEPETONGO ZAC
ESTACION 4518,SERV 3 ESTRELLAS Y SA CV,KM 31 CARR PUE TLAXCALA SN,ATLAMAXAC,TEPEYANCO TLAX
APTO DE TEPIC,APTOS Y SERVS AUXILIARES,DOM CONOCIDO PANTAL NAY,PANTANAL,TEPIC NAY
GPO ALTAMIRANO MONROY ,GRPO ALTAMIRANO M SA CV,AV MEXICO ESQ INSURGENTES SN,CENTRO,TEPIC NAY
GPO ALTAMIRANO MONROY ,GPO ALTAMIRANO MONROY SA CV,INSURGENTES NO 607 PTE,SAN JUAN,TEPIC NAY
OCTANO CTRO CARRET DEB,GRUPO OCTANO SA CV,LIB TEPIC MAZATLAN NO 48,RODEO DE LA PUNTA,TEPIC NAY
OCTANO INSURGENTES DEB,GRUPO OCTANO SA CV,AV INSURGENTES OTE NO 1131,FRACC LAS AVES,TEPIC NAY
OCTANO MIRADOR,GRUPO OCTANO SA CV,AV MEXICO NO 788 NTE,SAN JOSE,TEPIC NAY
OCTANO NAYARABASTO DEB,GRUPO OCTANO SA CV,AV INSURGENTES OTE NO 2795,LAGOS COUNTRY,TEPIC NAY
OCTANO SUC JUAREZ DEB ,GRUPO OCTANO SA CV,JUAREZ NO 346,CENTRO,TEPIC NAY
OCTANO SUC PINOS DEB  ,GRUPO OCTANO SA CV,BLVD TEPIC XALISCO NO 1958,MIRAVALLES,TEPIC NAY
OCTANO TECNOLOGICO DEB,GRUPO OCTANO SA CV,AV TECNOLOGICO NO 2525,VALLE DE MATATIPAC,TEPIC NAY
OCTANO UNIVERSIDAD DEB,GRUPO OCTANO SA CV,BLVD TEPIC XAL NO 142,PENITAS,TEPIC NAY
SERV GASOL COLOSIO,SERV GASOLINERO COLOSIO SA CV ,BLV L DONALDO COLOSIO NO 442,TIERRA Y LIBERTAD,TEPIC NAY
SERV GASOL COLOSIO,SERV GASOLINERO COLOSIO SA CV ,CARR FED 15 KM 213,SAN CAYETANO,TEPIC NAY
SERV GASOL INSURGENTES,SERV GASOL INSURGENTES SA CV  ,INSURGENTES NO 724 PTE,ZAPATA EMILIANO,TEPIC NAY
SUP SERV STEPHENS DEB ,SUPER SERVICIO STEPHENS SA,AV MEXICO NO 552 NTE,MOLOLOA,TEPIC NAY
SUPER SERV STEPHENS,SUPER SERVICIO STEPHENS SA,AV MEXICO NO 552 NTE,MOLOLOA,TEPIC NAY
SERV TEPOTZOTLAN,SERV TEPOTZOTLAN SA CV,CIRNV SN PQUE IN EL TREBOL,PQUE IND EL CONVENTO,TEPOTZOTLAN EM
SERV TEPOTZOTLAN,SERVICIO TEPOTZOTLAN SA CV,AV INDUSTRIA NO SECC,TLACATECO BARRIO,TEPOTZOTLAN EM
GASOLUB DL VENTA DEB  ,GASOLUB SA CV,CARR FED CUERNAVA TEPOZ KM17,TEPOZTLAN,TEPOZTLAN MOR
GASOL TEQUILA,GASOLINERA TEQUILA SA CV,AV SIXTO GORJON NO 229,EL MEDINENO,TEQUILA JAL
GASOL TEQUILA,GASOL TEQUILA SA CV,CARR INTERNACIONAL NO 580,EL MEDINENO,TEQUILA JAL
GAS DE TEQUIS DEB,GASOL TEQUISQUIAPAN SACV,CARR SAN JUAN DEL RIO KM 19,QUERETARO,TEQUISQUIAPAN QRO
GAS DE TEQUISQUIAPAN  ,GASOL TEQUISQUIAPAN SACV,NINOS HEROES ESQ CARR MENDEZ,CENTRO,TEQUISQUIAPAN QRO
SERV TX EST SERV 05991,SERVICIO TX SA CV,AV 16 DE SEPTIEMBRE NO 100,LOPEZ MATEOS ADOLFO,TEQUIXQUIAC EM
SERV TERRENANTE,SERV TERRENATE SA CV,CRT APIZACO KM 27.5,CARDENAS LAZARO,TERRENATE TLAX
SERV SANTIAGO TETLA,SERVICIO SANTIAGO TETLA SA CV ,KM 5 5 CARR FED APIZACO TLAXCO,SANTIAGO TETLA,TETLA TLAX
VILLASENOR BARAJAS,VILLASENOR BARAJAS SA CV,CARR GUAD AMECA KM 32,LA VEGA,TEUCHITLAN JAL
VILLASENOR BARAJAS DEB,VILLASENOR BARAJAS SA CV,CARR GUAD AMECA KM 32,LA VEGA,TEUCHITLAN JAL
GASOL BUSTAMANTE,BUSTAMANTE BUENDIA FROYLAN,CARR MEX VER KM 51.5,LA PURIFICACION,TEXCOCO EM
SERV EL CABALLO,SERV EL CABALLO SA CV,CARR TEXCOCO LECHERIA SN,TULANTONGO,TEXCOCO EM
SERV EL CABALLO DEB,SERV EL CABALLO SA CV,CARR TEXCOCO LECHERIA SN,TULANTONGO,TEXCOCO EM
ESTACION DE SERV 3231 ,PEREZ ZURITA MA GRACIA C,CARR TEZIUTLAN NAUTLA KM2,BARRIO DE CHIGNAULINGO,TEZIUTLAN PUE
GASOL Y LUB TEZIUTLAN ,GASOL LUB TEZIUTLAN SA CV,CARR FED A PEROTE NO 116,XOLOCO,TEZIUTLAN PUE
SUPER SERV BOGAVANTE  ,SUPER SERVICIO BOGAVANTE SA CV,AV JUAREZ Y ABASOLO SN,CENTRO,TEZIUTLAN PUE
GRUPO RAM VAL,GRUPO RAM VAL SA CV,CARR TEPEXPAN TEXCOCO KM 28 5,TEZOYUCA,TEZOYUCA EM
GRUPO RAM VAL,GRUPO RAM VAL SA CV,CARR TEPEXPAN TEXCOCO KM 2.5,TEQUISISTLAN,TEZOYUCA EM
SERV VILLAMARES,VILLAMARES CARRASCO MARIO,CARR SANTIAGO CHALMA NO 500,SANTIAGO TIANGUISTENCO,TIANGUISTENCO EM
GAS MABARAK,GAS D TIERRA BLANCA SA CV,KM 37 500 CARR TINAJA CD ALEMA,LAS FLORES,TIERRA BLANCA VER
GAS MABARAK,GAS D TIERRA BLANCA SA CV,KM 34 1 CARR 145 LA TINAJA SN,HOJAS DE MAIZ,TIERRA BLANCA VER
GAS FOY TIHUATLAN DEB ,GASOLIN FOY DE TIHUATLAN SACV ,CARR MEXICO TUXPAN KM 214,CENTRO,TIHUATLAN VER
GASOL FOY PLAN AY DEB ,GASOL FOY PLAN DE AYALA SA CV ,INDEPENDENCIA NO 518,PLAN DE AYALA,TIHUATLAN VER
GASOL FOY PLAN AYALA  ,GASOL FOY PLAN DE AYALA SACV  ,INDEPENDENCIA NO 518,PLAN DE AYALA,TIHUATLAN VER
GASOL FOY TIHUATLAN,GASOL FOY DE TIHUATLAN SACV,CARR MEXICO TUXPAN KM 214,CENTRO,TIHUATLAN VER
GASOL TIHUATLAN,GASOL TIHUATLAN SA CV,CARR NAL MEX TUXPAN CRUCERO 23,TIHUATLAN,TIHUATLAN VER
GASOL TIHUATLAN DEB,GASOL TIHUATLAN SA CV,CARR NAL MEX TUXPAN CRUCERO 23,TIHUATLAN,TIHUATLAN VER
SUPER SERV HEDAL,SUPER SERVICIO HEDAL SA CV,ACCESO CAZONES II NO 37,PLAN DE AYALA,TIHUATLAN VER
EST 21 DE ENERO DEB,SERV Y CONB DE NOROESTE SA CV ,BLVD FUNDADORES 4950,EL RUBI,TIJUANA BCN
EST CUCAPAH,OPER GASOSENDA SA CV,BLVD CUCAPAH NO 20028,AMPL GABRIEL RODRIGUEZ,TIJUANA BCN
EST DE SERV YDUR,GUTIERREZ MIRAMONTES MARGARITA,C MANUEL ACUNA NO 9002,CERRO COLORADO 1A Y 2A SEC,TIJUANA BCN
EST LAGOS,ORGANIZACION MUDAVURI SA CV,BLVD INSURGENTES LT100 NO20010,EL LAGO,TIJUANA BCN
EST MESA DE OTAY,SERV MARINERO DE GUAYMAS SA CV,BLVD LAZARO CARDENAS NO 2539,PREDIO LA PECHUGA MESA DE OTAY,TIJUANA BCN
EST SERV AEROPUERTO,LAPSACO SA CV,BLVD AEROPUERTO NO 14000 L A,AEROPUERTO,TIJUANA BCN
ESTACION DE GASOLINA D,EST DE GASO DIAZ SA CV,MANUEL GTZ NAJERA NO 3102,CAMICHIN,TIJUANA BCN
ESTACION GATO BRONCO  ,URETA SANCHEZ SILVIA,AV TECOLT NO 18603,INST NACIONAL DE LA VIVIENDA,TIJUANA BCN
ESTACION GUTIERREZ,JANTES GUTIERREZ JOSEFINA,AV 20 DE NOVIEMBRE NO 12354,CENTRO,TIJUANA BCN
ESTACION IXPALIA,SERV CONTRUCC IXPALAIA SA CV  ,LIB SUR OTE KM 2.5,BUROCRATA HIPODROMO,TIJUANA BCN
ESTACION LAS AMERICAS ,ARELLANO URETA JOAHANA I,RUTA INDEPENDENCIA NO 5000,CASTRO GREEN,TIJUANA BCN
ESTACION SANCHEZ T,ARELLANO URETA SILVIA,PROL SANCHEZ TABOADA NO 7930,BUENOS AIRES SUR,TIJUANA BCN
ESTACION TECOLOTE,ORGANIZACION MUDAVURI SA CV,CARR TI EN LT203 MZA498 NO8000,EL TECOLOTE,TIJUANA BCN
GASBRISAS,GASBRISAS SACV,BLVD DIAZ ORDAZ NO 1301,LAS HUERTAS 4TA SECC,TIJUANA BCN
RAPIGAS ESTACION 5157 ,EL GOYITO SA CV,BLVD FUNDADORES NO 6468,CENTRO,TIJUANA BCN
RAPIGAS ESTACION 6280 ,ESTACION PIRU SA CV,LIB ROSAS MAGALLON NO 7280,OBRERA PARTE ALTA,TIJUANA BCN
RAPIGAS ESTACION 6287 ,EL GOYITO SA CV,BLVD DIAZ ORDAZ NO 14211,SOLER,TIJUANA BCN
RAPIGAS ESTACION 6611 ,SERVICIO BLAS SA CV,RUTA HIDALGO NO 990,BAHIA BAJA CALIFORNIA,TIJUANA BCN
RAPIGAS ESTACION 6855 ,ARSENIO SA CV,BLVD TERCER OESTE NO 17646,20 DE NOVIEMBRE,TIJUANA BCN
RAPIGAS ESTACION 8070 ,ESTACION PIRU SA CV,RUTA M MATAMOROS NO 7598,CENTRO,TIJUANA BCN
SERV CIMARRON,SERV CIMARRON SA CV,ALBA ROJA NO 13000 ESQ LAZARO,SONORA,TIJUANA BCN
SERV COSMO EXPRESS,SERV COSMO EXPRESS SACV,BLVD INSURGENTES NO 20214,FRACC EL FLORIFO 1RA SECC,TIJUANA BCN
SERV COSMO EXPRESS,SERV COSMO EXPRESS SACV,MANUEL J CLOUTHIER NO 18340,FRACC LAGO SUR,TIJUANA BCN
SERV COSMO EXPRESS,SERV COSMO EXPRESS SACV,MANUEL J CLOUTHIER 1615,FRACC MURUA PTE,TIJUANA BCN
SERV EXPRESS NOROESTE ,SERV EXPRESS NOROEST SACV,BLVD INDUSTRIAL NO 18060,MESA DE OTAY,TIJUANA BCN
SERV GUTIERREZ,JANTES GUTIERREZ JOSEFINA,C DEL CARMEN ESQ GASOLINERA NO,CASTILLO,TIJUANA BCN
SERV JUANITO,RUIZ GOMEZ RICARDO,BLVD DIAZ ORDAZ NO 5002,LA MESA,TIJUANA BCN
SUPEREXPRES,SUPEREXPRES SA CV,DEFENSORES DE BC NO 10820,BUROCRATICA RUIZ CORTINEZ,TIJUANA BCN
SERV ASTUDILLO,ASTUDILLO MORALES EDGARDO,AV INSURGENTES NO 106,TIXTLA,TIXTLA DE GUERRERO GRO
GAS IMPERIAL YUCATAN  ,GAS DE YUCATAN SA,CARR TIZIMIN CALOTMUL NO KM 4,TIZIMIN,TIZIMIN YUC
GASOLINERA TLAHUALILO,GASOLINERA TLAHUALILO,J A CASTRO SN Y 10 DE MAYO,TLAHUALILO DE ZARAGOZA,TLAHUALILO DGO
SERV FRANCHUZ,SERV FRANCHUZ SA CV,CARRT TULA ACTOPAN KM 15,CENTRO,TLAHUELILPAN HGO
PETRO 7 TLAJOMULCO,PRODUC SELECCIONADOS SA CV,CARR GUADAL MORELIA KM 13.5 SN,CASILLAS NICOLAS R,TLAJOMULCO D ZUNIGA JAL
GAS MABARAK,HIDRO GAS DE VERACRUZ SA CV,KM 12.5 CARR TLALIXCOYAN P N S,TLALIXCOYAN,TLALIXCOYAN VER
GASOLUB TLALMANALC DEB,GASOLUB SA CV,MORELOS NO 10,TLALMANALCO,TLALMANALCO EM
ADASSA,ADMINI DE ACTIVOS Y SE SA CV  ,MIGUEL HIDALGO NO 39 0,HACIENDA SANTA MONICA,TLALNEPANTLA EM
CONSORCIO GASOL 46,CONSORCIO GASOL PLUS SA CV,AV DE LOS MAESTROS NO 47,SAN ANDRES ATENCO,TLALNEPANTLA EM
DEBISA,DESECHOS BIOLOGICO E IND SA CV,AV SAN NICOLAS NO 10,PARQUE INDUSTRIAL SAN NICOLAS,TLALNEPANTLA EM
DIMECO,DIMECO SA CV,CONV DE STA MONICA NO 70,JARDINES DE SANTA MONICA,TLALNEPANTLA EM
EST DE SERV PZA REHILE,PLAN PRO MA SA CV,GUSTAVO BAZ NO 230 L 31 AL 41,TEQUESQUINAHUAC,TLALNEPANTLA EM
ESTACION 3341,AJA GOMEZ SILVERIO,CALZ DE LOS JINETES NO 108,FRACC LAS ARBOLEDAS,TLALNEPANTLA EM
ESTACION 3341 DEB,AJA GOMEZ SILVERIO,CALZ DE LOS JINETES NO 108,FRACC LAS ARBOLEDAS,TLALNEPANTLA EM
GASOL AHR,ROSALES SALAZAR JUAN ANTONIO  ,AV HIDALGO NO 154,ROMANA,TLALNEPANTLA EM
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,AUT MEX QRO KM 37,VALLE DORADO,TLALNEPANTLA EM
GPO GASOL MEXICO,GPO GASOL MEXICO SA CV,AUT MEX QRO NO 1973,VALLE DORADO,TLALNEPANTLA EM
OPER KAMERUN,OPER KAMERUN SA CV,GUSTAVO BAZ NO 4483,SAN PEDRO BARRIENTOS,TLALNEPANTLA EM
OPER SANTA CECILIA,OPER STA CECILIA SA CV,AV SANTA CECILIA NO 290,SANTA CECILIA,TLALNEPANTLA EM
OPER STA CECILIA,OPER STA CECILIA SA CV,AV TENAYUCXA NO 290,EL ROSAL,TLALNEPANTLA EM
OPER STA CECILIA,OPER STA CECILIA SA CV,AV TENAYUCA NO 290,SANTA CECILIA PUEBLO,TLALNEPANTLA EM
PLAN PRO MA DEB,PLAN PRO MA SA CV,GUSTAVO BAZ NO 230 31 AL 41,TEQUESQUINAHAC,TLALNEPANTLA EM
SANTA CECILIA,INMOBILIARIA SONGAR SA CV,AV ACATITLAN NO 22,SANTA CECILIA PUEBLO,TLALNEPANTLA EM
SER LAS ROSAS,GARAY ROCHA JUAN ASCENCION,QUTOP MEX QRO NO 3005,PZA DE LAS ROSAS,TLALNEPANTLA EM
SERV ALEXANDRE,SERV ALEXANDRE SA CV,CDA GALEANA NO 17,TLALNEMEX,TLALNEPANTLA EM
SERV BARRIENTOS,DESARR D SERV OMEGA SA CV,EJERCITO DEL TRABAJO NO 62,SAN PEDRO BARRIENTOS,TLALNEPANTLA EM
SERV CANTABRICO DEB,SERV DEL CANTABRICO SA CV,DR GUSTAVO BAZ NO 39,XOCOYAHUALCO,TLALNEPANTLA EM
SERV CONDESA DE ZACATE,SERV CONDESA DE ZACATECAS SA  ,AV SANTA ROSA NO 1,LA JOYA IXTACALA,TLALNEPANTLA EM
SERV DEL CANTABRICO,SERV CANTABRICO SA CV,VIA GUSTAVO BAZ NO 39,XOCOYAHUALCO,TLALNEPANTLA EM
SERV DESEO,PRESTADORA D SERVS DESEO SA CV,PROL AV HIDALGO NO 62,BARRIENTOS UNIDAD,TLALNEPANTLA EM
SERV FAS,SERV FAS SA,VIA DR GUSTAVO BAZ NO 131,VIVEROS DE LA LOMA,TLALNEPANTLA EM
SERV LA CANADA,VARGAS ROSALES ELENA,AV HIDALGO NO 68,CENTRO,TLALNEPANTLA EM
SERV LOS ROSAS,GARAY ROCHA JUAN ASCENCION,AUTOP MEX QRO NO 3005,PZA DE LAS ROSAS,TLALNEPANTLA EM
SERV OCHOA,OCHOA FRAGOSO ALEJANDRO MARIO ,OTILIO MONTANO NO 2,SAN JUAN IXHUATEPEC,TLALNEPANTLA EM
SERV SAN JAVIER,SERV SAN JAVIER SA CV,AV MARIO COLIN SN,SAN JAVIER,TLALNEPANTLA EM
SERV SEVILLA,SERVICIO SEVILLA SA CV,GUSTAVO BAZ NO SMZ,SAN PEDRO BARRIENTOS,TLALNEPANTLA EM
SERV TOLTECAS,PRIMARAM SA CV,PROL TOLTECAS CM COLIN,REYES IXTACALA,TLALNEPANTLA EM
SUPER SERV DLT 6168,SUPER SERVICIO DLT SA CV,SOR JUANA INES LA CRUZ NO 320,CENTRO,TLALNEPANTLA EM
SUPER SERV TABLA HONDA,SUPER SERV TABLA HONDA SA CV  ,AV JESUS REYES HEROLES NO 20,TABLA HONDA,TLALNEPANTLA EM
SERV SANTA ANITA,SERV SANTA ANITA SA CV,CARR FED ZAC GDJ KM 138,LOS GUAPOS,TLALTENANGO D SCHEZ R ZAC
SERV LOPMAN,SERVICIO LOPMAN SA CV,CARR PACH CD SAHAGUN KM 4.2.5,POBLADO,TLANALAPA HGO
GASOL LA TAPATIA,GASOL LA TAPATIA SA CV,AV NINOS HEROES NO 720,ALAMO,TLAQUEPAQUE JAL
GASOL TATEPOSCO,GASOL TATEPOSCO SA CV,CARR LIB A ZAPOTLANEJO NO 3661,QUINTERO,TLAQUEPAQUE JAL
PETRO 7 LA TIJERA,PROD SELECCIONADOS SA CV,CARR A MORELIA NO 1501,LOS TULIPANES,TLAQUEPAQUE JAL
SERV SAN SEBASTIANITO ,SERV SAN SEBASTIANITO SA CV,PERIF SUR NO 6810,SAN SEBASTIANITO,TLAQUEPAQUE JAL
SERV TLALQUILTENANGO  ,EST SERV TLAQUILTENANGO SACV  ,AV MORELOS NO 515,TLAQUILTENANGO,TLAQUILTENANGO MOR
GRUPO HERPAL,HERNANDEZ MALDONADO EDUARDO,AV OCOTLAN NO 1,OCOTLAN,TLAXCALA TLAX
SERV CUARTO SENORIO,SERVICIO CUARTO SENORIO SA CV ,BLV REVOLUCION NO 39,ATEMPAN,TLAXCALA TLAX
SERV EL ROSARIO,GASOLINERA EL ROSARIO SA CV,CARR TLAXCOAPAN TLAHUELIPAN KM,TLAXCOAPAN,TLAXCOAPAN HGO
SERV VACACIONAL TLAYAC,SERV VACACIONAL TLAYAC SA CV  ,CARR XOCHIM OAXTEPEC KM 67.700,TLAYACAPAN,TLAYACAPAN MOR
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,VIALIDAD A L MATEOS NO 1226,SAN MATEO OXTOTITLAN,TOLUCA DE LERDO EM
ORVI COMBUSTIBLE,ORVI COMBUSTIBLES SA CV,N CARRILLO FLORES NO 202,DOCTORES,TOLUCA DE LERDO EM
SERV RUIZ,MONROY ROBLES ROGELIO RODRIGO ,PINO SUAREZ NO 601,AMERICAS,TOLUCA DE LERDO EM
SERV VILLADA,VILLADA COMBUSTIBLES SA CV,JOSE VICENTE VILLADA NO 221,CENTRO,TOLUCA DE LERDO EM
SUMINST COMB MORELOS  ,SUMINIST COMB MORELOS SA CV,AV MORELOS NO 1046,CINCO DE MAYO,TOLUCA DE LERDO EM
AEROPUERTO DE TOLUCA  ,AEROPUERTOS Y SERV AUXILIARES ,EX HACIENDA DE CANALEJA SN,NO,TOLUCA DE LERDO EM
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,VIAL J LOPEZ PORTILLO SN,SAN PEDRO TOTOLTEPEC,TOLUCA DE LERDO EM
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,BLVD M ALEMAN NO 105,SAN PEDRO TOTOLTEPEC,TOLUCA DE LERDO EM
GASOL TOLUCA,GASOLINERIA TOLUCA SA CV,VIA JOSE L PORTILLO NO 1201,SAN MATEO OTZACATIPAN,TOLUCA DE LERDO EM
ORVI COMBUSTIBLES,ORVI COMBUSTIBLES SA CV,JJ MTZ DE LOS REYES NO 900,SAN MATEO OTZACATIPAN,TOLUCA DE LERDO EM
SERV CASETA EL DORADO ,SERV CASETA EL DORADO SA CV,CARR TOLUCA ATLACOMULCO KM 17,SAN CAYETANO MORELOS,TOLUCA DE LERDO EM
SERV EL ARBOLITO,INMOBILIARIA MONROY RUIZ SA CV,CARR TOLUCA VILLA CUAUHT SN,SAN NICOLAS TOLENTINO,TOLUCA DE LERDO EM
SERV GRILLOS,SERV GRILLOS SA CV,VIA ALFREDO DEL MAZO SN,LAS LAJAS,TOLUCA DE LERDO EM
SERV SERRANO,SERV SERRANO SA CV,SOLIDARIDAD LAS TORRES NO 405,MODERNA DE LA CRUZ,TOLUCA DE LERDO EM
GASOL CRISTAL,GASOL CRISTAL SA CV,AV HIDALGO NO 85,SAN FELIPE,TONALA CHIS
GASOL DEL SUR,GASOLINERA DEL SUR SA CV,AV HIDALGO SN,BARRIO NICATAN,TONALA CHIS
GASOL DEL SUR DEB,GASOLINERA DEL SUR SA CV,AV HIDALGO SN,BARRIO NICATAN,TONALA CHIS
GASOL DEL VALLE,RAMOS ACEITUNO ROMEO,AV HIDALGO NO 2000,DEL VALLE,TONALA CHIS
PETRO7 AUT MEXICO,PROD SELECCIONADOS SA CV,KM 1.8 AUT GDL ZAPOTLANEJO,LOMAS DE TONALA,TONALA JAL
PETRO7 AUT TONALA,PROD SELECCIONADOS SA CV,KM 21.5 AUT GDL ZAPOTLANEJO,HIDALGO,TONALA JAL
SERVI ORVI TONATICO,ORVI COMBUSTIBLES SA CV,ADOLFO LOPEZ MATEOS SN,BARRIO DE SAN SEBASTIAN,TONATICO EM
APTO DE TORREON,AEROPUERTOS Y SERV AUXILIARES ,CARR TORREON SAN PEDRO KM 9,AEROPUERTO,TORREON COAH
ARY SUPER SERV III,ARY SUPER SERV III SAC,AV ABASOLO N0 1195 OTE,TORREON, CENTRO,TORREON COAH
ARY SUPER SERV IV,ARY SUPER SERV IV SA CV,BLVD GRAL RDZ TRIANA NO 888,LA HACIENDA,TORREON COAH
AUTO SERV RAMIREZ,AUTO SERV RAMIREZ SA CV,AV PDTE CARRANZA OTE NO 3114,NVO TORREON,TORREON COAH
AUTO SERVICIO MAYRAN  ,AUTO SERVICIO MAYRAN SACV,BLVD REVOLUCION Y ACUNA SN,CENTRO,TORREON COAH
BERLANGA LUBRICANTES  ,BERLANGA LUBRICANTES SA CV,DIAG REFORMA NO 2342 OTE,CENTRO,TORREON COAH
COMB INTEGRALES,COMBUSTIBLES INTEGRALES SA CV ,AV VICTORIA Y C LA OPINION SN,CENTRO,TORREON COAH
COMBUSTIBLES INTEGRALE,COMBUSTIBLES INTEGRALES SA CV ,C LA OPINION NO 750,CENTRO,TORREON COAH
COMBUSTIBLES POLIFORUM,COMB POLIFORUM SA CV,BLVD A LOPEZ MATEOS NO 2207,DIVISION DEL NORTE,TORREON COAH
DIAGONAL GASOLINERA,DIAG GASOLINERA SA CV,BLVD REVOLUCION Y C NO 400 SN,CENTRO,TORREON COAH
EST DE COMB ELIZONDO  ,EST DE COMB ELIZONDO SA CV,ANTIGUA CARR A SAN PEDRO NO 55,EJIDO ANA,TORREON COAH
EST SERV LA FERIA,EST SERV LA FERIA SA CV,AV JUAREZ NO 4595 OTE,CALIFORNIA EJIDO,TORREON COAH
EST SERV LA FERIA DEB ,EST SERVICIO LA FERIA SA,AV JUAREZ NO 4595 OTE,VILLA CALIFORNIA,TORREON COAH
EST SERV LA ROS 2 DEB ,EST DE SERV LA ROSITA 2 SA CV ,RET DE LOS NARANJOS NO 2,VILLA JARDIN,TORREON COAH
EST SERV LA ROSITA 02 ,EST DE SERV LA ROSITA 2 SA CV ,RETOR DE LOS NARANJOS NO 2,VILLA JARDIN,TORREON COAH
GASOL CACTUS,FELIX CASAS PEDRO,BLVD TORREON MAT NO 5720,CENTRO,TORREON COAH
GASOL JR COMBUSTIBLES ,JR COMBUSTIBLES SA CV,DIAG LAS FUENTES NO 680,LA HACIENDA,TORREON COAH
GASOL LA JOYA,PEREZ GONZALEZ GERARDO CESAR  ,CARR TORREON MATAMOROS KM 9.2,CENTRO,TORREON COAH
GASOL LOS ANGELE,GASOLINERIA LOS ANGELES,BLVD RGUEZ TRIANA NO 7,RESIDENCIAL LAS MISIONES,TORREON COAH
GASOL LOS ANGELES,GASOL LOS ANGELES SA CV,BLVD DIAG LAS FUENTES NO 10,CALIFORNIA EJIDO,TORREON COAH
GASOL LOS ANGELES,GASOLINERA LOS ANGELES SA CV  ,BLVD INDEPENDENCIA NO 501 OTE,LOS ANGELES,TORREON COAH
GASOL LOS ANGELES,GASOL LOS ANGELES SA CV,BLVD INDEPENDENCIA NO 5,LOS ANGELES,TORREON COAH
GASOL MARTILLO,GASOL MARTILLO SA CV,BLVD TORREON MAT NO 7500 OTE,VALLE ORIENTE,TORREON COAH
GASOL PALMAS SAN ISIDR,GASOL PALMAS SAN ISIDRO SA CV ,BLVD CONSTITUCION NO 2020 OTE,SAN ISIDRO,TORREON COAH
GASOL PZA AURORA,GASOLINERA PZA AURORA SA CV,CARR TORREON SAN PEDRO KM 3.5,CENTRO,TORREON COAH
GASOL SAN ISIDRO,GASOLINERA SAN ISIDRO SA CV,BLVD INDEPENDENCIA OTE NO 1661,SAN ISIDRO,TORREON COAH
GASOL TORREON,GASOL TORREON SA CV,AV ALLENDE Y E AGUIRRE BEN SN,CENTRO,TORREON COAH
GASOL VASCONCELOS,ARALUCE ASOCIADOS SA CV,VASCONCELOS NO 200,LOS ANGELES,TORREON COAH
GRUPO NECAR,GRUPO NECAR SA CV,AV HIDALGO NO 433 OTE,CENTRO,TORREON COAH
IBERICA 2000,IBERICA 2000 SA CV,AUT TORREON SN PEDRO KM 6.7,CENTRO,TORREON COAH
JR COMBUSTIBLES,JR COMBUSTIBLES SA CV,C CUAUHTEMOC NO 1581,CENTRO,TORREON COAH
LUB Y COMB TORREON,LUB COMB TORREON SA CV,AV JUAREZ NO 2300 OTE,CENTRO,TORREON COAH
MI GASOLINA AGUILA NA ,DIESEL Y GAS DE LA LAGUNA SACV,CALZ AGUILA NAL OTE NO 2010,CENTRO,TORREON COAH
MI GASOLINA ARISTA,DIESEL GASOL DE LA LAGUNA SACV,BLVD INDEP NO 710,PRIMER FRACC D COBIAN,TORREON COAH
MI GASOLINA BRITTINGHA,DISEL GASOLINA D L LAGUNA SACV,J F BRITTINGHAM NO 194 D,CD INDUSTRIAL TORREON,TORREON COAH
MI GASOLINA COLON,DIESEL GASOL DE LA LAGUNA SACV,BLVD REVOLUCION OTE NO 21,CENTRO,TORREON COAH
MI GASOLINA GAL,DIESEL GASOL DE LA LAGUNA SACV,BLVD INDEP OTE NO 3875,EL FRESNO,TORREON COAH
